,ID_1km,ALTER_10JG,INSGESAMT,geometry
922,1kmN2728E4255,0.0,0.0,"POLYGON ((9.121838295609226 47.66209151877403, 9.12168487228154 47.67109059980861, 9.134991596743783 47.67119661813585, 9.135142696213581 47.66219751572504, 9.121838295609226 47.66209151877403))"
923,1kmN2728E4256,3.0,16.0,"POLYGON ((9.135142696213581 47.66219751572504, 9.134991596743783 47.67119661813585, 9.148298370688453 47.67130101807122, 9.148447146266573 47.66230189461038, 9.135142696213581 47.66219751572504))"
924,1kmN2728E4257,75.0,774.0,"POLYGON ((9.148447146266573 47.66230189461038, 9.148298370688453 47.67130101807122, 9.161605193354765 47.67140379960506, 9.161751645007929 47.66240465542041, 9.148447146266573 47.66230189461038))"
925,1kmN2728E4258,830.0,11045.0,"POLYGON ((9.161751645007929 47.66240465542041, 9.161605193354765 47.67140379960506, 9.174912063981912 47.67150496272793, 9.175056191677362 47.6625057981457, 9.161751645007929 47.66240465542041))"
926,1kmN2728E4259,528.0,6337.0,"POLYGON ((9.175056191677362 47.6625057981457, 9.174912063981912 47.67150496272793, 9.18821898180906 47.671604507430494, 9.188360785514565 47.66260532277689, 9.175056191677362 47.6625057981457))"
927,1kmN2728E4260,207.0,2374.0,"POLYGON ((9.188360785514565 47.66260532277689, 9.18821898180906 47.671604507430494, 9.201525946075359 47.67170243370359, 9.201665425759199 47.66270322930486, 9.188360785514565 47.66260532277689))"
928,1kmN2728E4261,12.0,179.0,"POLYGON ((9.201665425759199 47.66270322930486, 9.201525946075359 47.67170243370359, 9.214832956019936 47.671798741538154, 9.214970111650915 47.66279951772053, 9.201665425759199 47.66270322930486))"
929,1kmN2728E4262,3.0,6.0,"POLYGON ((9.214970111650915 47.66279951772053, 9.214832956019936 47.671798741538154, 9.228140010881894 47.67189343092534, 9.228274842429336 47.66289418801506, 9.214970111650915 47.66279951772053))"
1066,1kmN2729E4255,0.0,0.0,"POLYGON ((9.12168487228154 47.67109059980861, 9.121531380436874 47.68008964118123, 9.134840429794503 47.68019568089458, 9.134991596743783 47.67119661813585, 9.12168487228154 47.67109059980861))"
1067,1kmN2729E4256,44.0,380.0,"POLYGON ((9.134991596743783 47.67119661813585, 9.134840429794503 47.68019568089458, 9.148149528668384 47.68030010188968, 9.148298370688453 47.67130101807122, 9.134991596743783 47.67119661813585))"
1068,1kmN2729E4257,217.0,1879.0,"POLYGON ((9.148298370688453 47.67130101807122, 9.148149528668384 47.68030010188968, 9.161458676297212 47.68040290415693, 9.161605193354765 47.67140379960506, 9.148298370688453 47.67130101807122))"
1069,1kmN2729E4258,621.0,7796.0,"POLYGON ((9.161605193354765 47.67140379960506, 9.161458676297212 47.68040290415693, 9.174767871919656 47.68050408768679, 9.174912063981912 47.67150496272793, 9.161605193354765 47.67140379960506))"
1070,1kmN2729E4259,715.0,8823.0,"POLYGON ((9.174912063981912 47.67150496272793, 9.174767871919656 47.68050408768679, 9.188077114774366 47.68060365246999, 9.18821898180906 47.671604507430494, 9.174912063981912 47.67150496272793))"
1071,1kmN2729E4260,528.0,5574.0,"POLYGON ((9.18821898180906 47.671604507430494, 9.188077114774366 47.68060365246999, 9.20138640409997 47.68070159849733, 9.201525946075359 47.67170243370359, 9.18821898180906 47.671604507430494))"
1072,1kmN2729E4261,220.0,2497.0,"POLYGON ((9.201525946075359 47.67170243370359, 9.20138640409997 47.68070159849733, 9.214695739135076 47.68079792575978, 9.214832956019936 47.671798741538154, 9.201525946075359 47.67170243370359))"
